Date,Transaction ID,Number,Description,Notes,Commodity/Currency,Void Reason,Action,Memo,Full Account Name,Account Name,Amount With Sym,Amount Num.,Value With Sym,Value Num.,Reconcile,Reconcile Date,Rate/Price
2022-04-20,183ade424b3a4616bfee394489f18010,,PARTIAL MONTHLY FEE,OFX ext. info: |Trans type:Generic debit|Memo:2 days @ $0.99,CURRENCY::CAD,,,,Assets:Banks:RBC,RBC,-C$1.98,-1.98,-C$1.98,-1.98,y,2022-06-01,1.0000
2022-04-20,183ade424b3a4616bfee394489f18010,,PARTIAL MONTHLY FEE,OFX ext. info: |Trans type:Generic debit|Memo:2 days @ $0.99,CURRENCY::CAD,,,,Expenses:Bank Service Charge:RBC,RBC,C$1.98,1.98,C$1.98,1.98,y,2022-05-25,1.0000
2022-05-08,e7fa072b2e6d445a996cb76a43d3dafe,,Email Trfs,OFX ext. info: |Trans type:Generic credit|Memo:E-TRANSFER RECEIVED,CURRENCY::CAD,,,,Assets:Banks:RBC,RBC,C$10.00,10.00,C$10.00,10.00,y,2022-06-01,1.0000
2022-05-08,e7fa072b2e6d445a996cb76a43d3dafe,,Email Trfs,OFX ext. info: |Trans type:Generic credit|Memo:E-TRANSFER RECEIVED,CURRENCY::CAD,,,WITHDRAWAL,Assets:Banks:Scotiabank:Chequing,Chequing,-C$10.00,-10.00,-C$10.00,-10.00,y,2022-05-13,1.0000
2022-05-16,1c5e0f631c0a46bdb9ea4aa1663e9c75,,OD INTEREST,OFX ext. info: |Trans type:Generic debit,CURRENCY::CAD,,,,Assets:Banks:RBC,RBC,-C$0.02,-0.02,-C$0.02,-0.02,y,2022-06-01,1.0000
2022-05-16,1c5e0f631c0a46bdb9ea4aa1663e9c75,,OD INTEREST,OFX ext. info: |Trans type:Generic debit,CURRENCY::CAD,,,,Expenses:Bank Service Charge:RBC,RBC,C$0.02,0.02,C$0.02,0.02,y,2022-05-25,1.0000
2022-05-18,2ecc50c498cf4af5956de09dc4a2fce5,,MISC PAYMENT,OFX ext. info: |Trans type:Generic credit|Memo:MORTGAGE OFFER,CURRENCY::CAD,,,,Assets:Banks:RBC,RBC,"C$1,500.00",1500.00,"C$1,500.00",1500.00,y,2022-06-01,1.0000
2022-05-18,2ecc50c498cf4af5956de09dc4a2fce5,,MISC PAYMENT,OFX ext. info: |Trans type:Generic credit|Memo:MORTGAGE OFFER,CURRENCY::CAD,,,,Income:Other Income,Other Income,"-C$1,500.00",-1500.00,"-C$1,500.00",-1500.00,y,2022-05-25,1.0000
2022-05-19,8169142df9d54125928603bc8c50bdd8,,LOAN INTEREST,OFX ext. info: |Trans type:Generic debit,CURRENCY::CAD,,,,Assets:Banks:RBC,RBC,-C$43.43,-43.43,-C$43.43,-43.43,y,2022-06-01,1.0000
2022-05-19,8169142df9d54125928603bc8c50bdd8,,LOAN INTEREST,OFX ext. info: |Trans type:Generic debit,CURRENCY::CAD,,,,Expenses:Interest:Mortgage Interest,Mortgage Interest,C$43.43,43.43,C$43.43,43.43,y,2022-05-25,1.0000
