Date,Transaction ID,Number,Description,Notes,Commodity/Currency,Void Reason,Action,Memo,Full Account Name,Account Name,Amount With Sym,Amount Num.,Value With Sym,Value Num.,Reconcile,Reconcile Date,Rate/Price
2024-04-22,ab0afeef0b024d3a997f704a8bc9d953,32,Transfer from Scotiabank,,CURRENCY::CAD,,,,Assets:Banks:CIBC,CIBC,C$1.00,1.00,C$1.00,1.00,y,2024-05-10,1.0000
2024-04-22,ab0afeef0b024d3a997f704a8bc9d953,32,Transfer from Scotiabank,,CURRENCY::CAD,,,,Assets:Banks:Scotiabank:Chequing,Chequing,-C$1.00,-1.00,-C$1.00,-1.00,y,2024-04-29,1.0000
2024-05-06,37df5a5b98d242e8bdd4f37bf526fd05,1,Transfer from Scotiabank,OFX ext. info: |Trans type:Generic debit|Memo:WITHDRAWAL,CURRENCY::CAD,,,,Assets:Banks:CIBC,CIBC,C$218.03,218.03,C$218.03,218.03,y,2024-05-07,1.0000
2024-05-06,37df5a5b98d242e8bdd4f37bf526fd05,1,Transfer from Scotiabank,OFX ext. info: |Trans type:Generic debit|Memo:WITHDRAWAL,CURRENCY::CAD,,,,Assets:Banks:Scotiabank:Chequing,Chequing,-C$218.03,-218.03,-C$218.03,-218.03,y,2024-05-08,1.0000
2024-05-06,01a9560cf26d4c368df90982a15299af,2,PC-SASKPOWER - A 910 EVERGREEN BLVD,OFX ext. info: |Trans type:Generic debit|Memo:Bill Payment,CURRENCY::CAD,,,Bill Payment,Assets:Banks:CIBC,CIBC,-C$144.11,-144.11,-C$144.11,-144.11,y,2024-05-07,1.0000
2024-05-06,01a9560cf26d4c368df90982a15299af,2,PC-SASKPOWER - A 910 EVERGREEN BLVD,OFX ext. info: |Trans type:Generic debit|Memo:Bill Payment,CURRENCY::CAD,,,,Expenses:Home:Utilities,Utilities,C$144.11,144.11,C$144.11,144.11,y,2024-05-23,1.0000
2024-05-06,77bc4b7ceceb4a1cb00d6df003633eee,3,PC-SASKENERGY INC.,OFX ext. info: |Trans type:Generic debit|Memo:Bill Payment,CURRENCY::CAD,,,Bill Payment,Assets:Banks:CIBC,CIBC,-C$74.92,-74.92,-C$74.92,-74.92,y,2024-05-07,1.0000
2024-05-06,77bc4b7ceceb4a1cb00d6df003633eee,3,PC-SASKENERGY INC.,OFX ext. info: |Trans type:Generic debit|Memo:Bill Payment,CURRENCY::CAD,,,,Expenses:Home:Utilities,Utilities,C$74.92,74.92,C$74.92,74.92,y,2024-05-23,1.0000
2024-05-17,a7a73e70c673437eb581e9fca79e77a8,,Deposit from Scotiabank,,CURRENCY::CAD,,,,Assets:Banks:CIBC,CIBC,C$272.94,272.94,C$272.94,272.94,y,2024-05-23,1.0000
2024-05-17,a7a73e70c673437eb581e9fca79e77a8,,Deposit from Scotiabank,,CURRENCY::CAD,,,,Assets:Banks:Scotiabank:Chequing,Chequing,-C$272.94,-272.94,-C$272.94,-272.94,y,2024-05-22,1.0000
2024-05-22,a85a80c5be454023b9ce8ef6d8fb15c4,,PC-SASKENERGY INC.,OFX ext. info: |Trans type:Generic debit|Memo:Bill Payment,CURRENCY::CAD,,,Bill Payment,Assets:Banks:CIBC,CIBC,-C$132.76,-132.76,-C$132.76,-132.76,y,2024-05-23,1.0000
2024-05-22,a85a80c5be454023b9ce8ef6d8fb15c4,,PC-SASKENERGY INC.,OFX ext. info: |Trans type:Generic debit|Memo:Bill Payment,CURRENCY::CAD,,,,Expenses:Home:Utilities,Utilities,C$132.76,132.76,C$132.76,132.76,y,2024-05-23,1.0000
2024-05-22,83e2d2cf28904eeaa5952b928a3a273e,,PC-SASKPOWER - A 910 EVERGREEN BLVD,OFX ext. info: |Trans type:Generic debit|Memo:Bill Payment,CURRENCY::CAD,,,Bill Payment,Assets:Banks:CIBC,CIBC,-C$128.97,-128.97,-C$128.97,-128.97,y,2024-05-23,1.0000
2024-05-22,83e2d2cf28904eeaa5952b928a3a273e,,PC-SASKPOWER - A 910 EVERGREEN BLVD,OFX ext. info: |Trans type:Generic debit|Memo:Bill Payment,CURRENCY::CAD,,,,Expenses:Home:Utilities,Utilities,C$128.97,128.97,C$128.97,128.97,y,2024-05-23,1.0000
2024-05-24,830a47a341c940e88d0162e37a4293f2,,Transfer from credit card,,CURRENCY::CAD,,,,Assets:Banks:CIBC,CIBC,"C$1,307.00",1307.00,"C$1,307.00",1307.00,y,2024-05-25,1.0000
2024-05-24,830a47a341c940e88d0162e37a4293f2,,Transfer from credit card,,CURRENCY::CAD,,,,Liabilities:Credit Card:CIBC Dividend Platinum,CIBC Dividend Platinum,"-C$1,307.00",-1307.00,"-C$1,307.00",-1307.00,y,2024-09-13,1.0000
2024-05-24,b5287bdc5ba94a42af5475d4a39a4be1,3,ImmiGo: EB2-NIW 3/8 ($6k USD + $4k USD) U$800,,CURRENCY::CAD,,,,Assets:Banks:CIBC,CIBC,"-C$1,108.21",-1108.21,"-C$1,108.21",-1108.21,y,2024-05-25,1.0000
2024-05-24,b5287bdc5ba94a42af5475d4a39a4be1,3,ImmiGo: EB2-NIW 3/8 ($6k USD + $4k USD) U$800,,CURRENCY::CAD,,,,Expenses:Immigration,Immigration,"C$1,108.21",1108.21,"C$1,108.21",1108.21,y,2024-08-07,1.0000
2024-05-27,bf7039a342ed489c946408d57a15cce7,,Transfer to Scotiabank,OFX ext. info: |Trans type:Generic debit|Memo:WITHDRAWAL,CURRENCY::CAD,,,WITHDRAWAL,Assets:Banks:CIBC,CIBC,-C$200.00,-200.00,-C$200.00,-200.00,y,2024-05-28,1.0000
2024-05-27,bf7039a342ed489c946408d57a15cce7,,Transfer to Scotiabank,OFX ext. info: |Trans type:Generic debit|Memo:WITHDRAWAL,CURRENCY::CAD,,,,Assets:Banks:Scotiabank:Chequing,Chequing,C$200.00,200.00,C$200.00,200.00,y,2024-05-30,1.0000
2024-05-31,ea4caf07e2f142f2a6044710ed9001df,,SERVICE CHARGE,,CURRENCY::CAD,,,,Assets:Banks:CIBC,CIBC,-C$6.95,-6.95,-C$6.95,-6.95,y,2024-08-07,1.0000
2024-05-31,ea4caf07e2f142f2a6044710ed9001df,,SERVICE CHARGE,,CURRENCY::CAD,,,,Expenses:Bank Service Charge,Bank Service Charge,C$6.95,6.95,C$6.95,6.95,y,2024-08-07,1.0000
2024-05-31,8b60cdbbb66645dda5dfb7e9bf79bb6f,,SERVICE CHARGE REWARDS,,CURRENCY::CAD,,,,Assets:Banks:CIBC,CIBC,C$6.95,6.95,C$6.95,6.95,y,2024-08-07,1.0000
2024-05-31,8b60cdbbb66645dda5dfb7e9bf79bb6f,,SERVICE CHARGE REWARDS,,CURRENCY::CAD,,,,Expenses:Bank Service Charge,Bank Service Charge,-C$6.95,-6.95,-C$6.95,-6.95,y,2024-08-07,1.0000
2024-06-10,39aed5b06cfd4132bd2e43c420ab002f,,Minimum Payment,,CURRENCY::CAD,,,,Assets:Banks:CIBC,CIBC,-C$10.00,-10.00,-C$10.00,-10.00,y,2024-08-07,1.0000
2024-06-10,39aed5b06cfd4132bd2e43c420ab002f,,Minimum Payment,,CURRENCY::CAD,,,,Liabilities:Credit Card:CIBC Dividend Platinum,CIBC Dividend Platinum,C$10.00,10.00,C$10.00,10.00,y,2024-09-13,1.0000
2024-06-28,c2f207b34ce74e78a13f5bdd6924f607,,SERVICE CHARGE,,CURRENCY::CAD,,,,Assets:Banks:CIBC,CIBC,-C$6.95,-6.95,-C$6.95,-6.95,y,2024-08-07,1.0000
2024-06-28,c2f207b34ce74e78a13f5bdd6924f607,,SERVICE CHARGE,,CURRENCY::CAD,,,,Expenses:Bank Service Charge,Bank Service Charge,C$6.95,6.95,C$6.95,6.95,y,2024-08-07,1.0000
